"DisplayName","DisplayVersion","Publisher","InstallDate"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)语言包 - 简体中文","10.0.50903","Microsoft Corporation",
"Microsoft Visual Studio Code (User)","1.109.5","Microsoft Corporation","20260221"
"Microsoft Visual Studio Installer","4.3.2029.11392","Microsoft Corporation","20250710"
"Microsoft Visual Studio Setup Configuration","4.3.2028.6109","Microsoft Corporation","20260211"
"Microsoft Visual Studio Setup WMI Provider","4.3.2028.6109","Microsoft Corporation","20260211"
"Microsoft Windows Desktop Runtime - 10.0.1 (x64)","80.4.44025","Microsoft Corporation","20251222"
"Microsoft Windows Desktop Runtime - 10.0.3 (x64)","80.12.47319","Microsoft Corporation","20260211"
"Microsoft Windows Desktop Runtime - 10.0.3 (x86)","80.12.47319","Microsoft Corporation","20260211"
"Microsoft Windows Desktop Runtime - 6.0.36 (x64)","6.0.36.34217","Microsoft Corporation",
"Microsoft Windows Desktop Runtime - 6.0.36 (x64)","48.144.23186","Microsoft Corporation","20251226"
"Microsoft Windows Desktop Runtime - 8.0.24 (x64)","64.96.47265","Microsoft Corporation","20260211"
"Microsoft Windows Desktop Runtime - 8.0.24 (x64)","8.0.24.35722","Microsoft Corporation",
"Microsoft Windows Desktop Targeting Pack - 10.0.1 (x64)","80.4.44025","Microsoft Corporation","20251222"
"Microsoft Windows Desktop Targeting Pack - 10.0.3 (x64)","80.12.47319","Microsoft Corporation","20260211"
"Microsoft Windows Desktop Targeting Pack - 10.0.3 (x86)","80.12.47319","Microsoft Corporation","20260211"
"Microsoft.NET.Sdk.Android.Manifest-10.0.100 (x64)","36.1.2","Microsoft Corporation","20251207"
"Microsoft.NET.Sdk.Android.Manifest-10.0.100-rc.2 (x64)","32.0.40940","Microsoft Corporation","20260211"
"Microsoft.NET.Sdk.iOS.Manifest-10.0.100 (x64)","26.0.11017","Microsoft Corporation","20260121"
"Microsoft.NET.Sdk.iOS.Manifest-10.0.100 (x64)","255.222.10191","Microsoft Corporation","20260211"
"Microsoft.NET.Sdk.iOS.Manifest-10.0.100-rc.2 (x64)","251.104.40928","Microsoft Corporation","20260211"
"Microsoft.NET.Sdk.MacCatalyst.Manifest-10.0.100 (x64)","26.0.11017","Microsoft Corporation","20260121"
"Microsoft.NET.Sdk.MacCatalyst.Manifest-10.0.100 (x64)","255.222.10191","Microsoft Corporation","20260211"
"Microsoft.NET.Sdk.MacCatalyst.Manifest-10.0.100-rc.2 (x64)","251.104.40928","Microsoft Corporation","20260211"
"Microsoft.NET.Sdk.macOS.Manifest-10.0.100 (x64)","255.222.10191","Microsoft Corporation","20260211"
"Microsoft.NET.Sdk.macOS.Manifest-10.0.100 (x64)","26.0.11017","Microsoft Corporation","20260121"
"Microsoft.NET.Sdk.Maui.Manifest-10.0.100 (x64)","10.0.0","Microsoft Corporation","20260121"
