
DisplayName                                                                                   DisplayVersion         Publi
Microsoft.NET.Sdk.MacCatalyst.Manifest-10.0.100 (x64)                                         26.0.11017             Micr…
Microsoft.NET.Sdk.MacCatalyst.Manifest-10.0.100 (x64)                                         255.222.10191          Micr…
Microsoft.NET.Sdk.MacCatalyst.Manifest-10.0.100-rc.2 (x64)                                    251.104.40928          Micr…
Microsoft.NET.Sdk.macOS.Manifest-10.0.100 (x64)                                               255.222.10191          Micr…
Microsoft.NET.Sdk.macOS.Manifest-10.0.100 (x64)                                               26.0.11017             Micr…
Microsoft.NET.Sdk.Maui.Manifest-10.0.100 (x64)                                                10.0.0                 Micr…
Microsoft.NET.Sdk.Maui.Manifest-10.0.100 (x64)                                                10.0.20                Micr…
Microsoft.NET.Sdk.Maui.Manifest-10.0.100-rc.2 (x64)                                           80.0.42184             Micr…
Microsoft.NET.Sdk.tvOS.Manifest-10.0.100 (x64)                                                255.222.10191          Micr…
Microsoft.NET.Sdk.tvOS.Manifest-10.0.100 (x64)                                                26.0.11017             Micr…
Microsoft.NET.Workload.Emscripten.Current.Manifest-10.0.100 (x64)                             81.156.47319           Micr…
Microsoft.NET.Workload.Emscripten.net6.Manifest-10.0.100 (x64)                                81.156.47319           Micr…
Microsoft.NET.Workload.Emscripten.net7.Manifest-10.0.100 (x64)                                81.156.47319           Micr…
Microsoft.NET.Workload.Emscripten.net8.Manifest-10.0.100 (x64)                                81.156.47319           Micr…
Microsoft.NET.Workload.Emscripten.net9.Manifest-10.0.100 (x64)                                81.156.47319           Micr…
Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest-10.0.100 (x64)                         81.148.44025           Micr…
Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest-10.0.100 (x64)                         81.156.47319           Micr…
Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest-10.0.100 (x64)                            81.156.47319           Micr…
Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest-10.0.100 (x64)                            81.156.47319           Micr…
Microsoft.NET.Workload.Mono.Toolchain.net8.Manifest-10.0.100 (x64)                            81.156.47319           Micr…
Microsoft.NET.Workload.Mono.Toolchain.net9.Manifest-10.0.100 (x64)                            81.156.47319           Micr…
Mind+ 2.0.5                                                                                   2.0.5                  DFRo…
Mozilla Firefox (x64 en-US)                                                                   147.0.4                Mozi…
Mozilla Maintenance Service                                                                   145.0.2                Mozi…
MSYS2                                                                                         20241208               The …
Node.js                                                                                       24.13.1                Node…
Office 16 Click-to-Run Extensibility Component                                                16.0.19628.20214       Micr…
Ollama version 0.16.1                                                                         0.16.1                 Olla…
Pandoc 3.9                                                                                    3.9                    John…
Play Free Sudoku online                                                                       1.0                    Goog…
PowerShell 7-x64                                                                              7.5.4.0                Micr…
PowerToys (Preview)                                                                           0.97.2                 Micr…
PowerToys (Preview) x64                                                                       0.97.2                 Micr…
